   index  lev     parent      ncell             peak_x             peak_y             peak_z               rho-               rho+             rho_av            mass_cl          relevance   MLADEN
    2548    0       2548          9    4.862584319E-01    5.078125040E-01    8.213757852E-01    8.315343166E+01    3.377912646E+02    1.516649397E+02    8.135941371E-05    4.222390808E+00   mladen
    2582    0       2582         18    4.057212146E-01    5.294482198E-01    6.953124960E-01    8.238323045E+01    2.923258977E+02    1.447006442E+02    1.552469489E-04    3.654073722E+00   mladen
    2710    0       2710       1746    4.330552660E-01    9.750976562E-01    7.226562510E-01    8.005499282E+01    3.217956463E+04    4.787250159E+02    4.389367795E-03    7.361574786E+00   mladen
    2711    0       2710        394    4.309215042E-01    9.663085938E-01    7.112461074E-01    8.032383137E+01    3.004186818E+04    3.652197301E+02    6.768733849E-04    2.918537243E+01   mladen
    2712    0       2712        822    2.831321961E-01    8.364257812E-01    5.429687490E-01    8.004352903E+01    2.209378946E+04    4.115046297E+02    1.699301906E-03    2.761723683E+02   mladen
    2713    0       2713        367    1.606456889E-01    8.164062490E-01    4.381817012E-01    8.065799377E+01    1.991133661E+04    4.037780022E+02    7.013287154E-04    2.488917076E+02   mladen
    2714    0       2714        522    3.657257608E-01    9.868167074E-01    6.140453142E-01    8.001734617E+01    1.692739899E+04    3.410002827E+02    9.594129901E-04    1.141522524E+02   mladen
    2715    0       2715        560    3.691406260E-01    9.467602979E-01    6.205929077E-01    8.037675095E+01    1.631874807E+04    4.038110618E+02    1.166218987E-03    1.424539448E+02   mladen
    2717    0       2710        427    4.360351562E-01    9.751123600E-01    7.304687490E-01    8.012749006E+01    1.565274238E+04    4.165371224E+02    9.395674899E-04    3.580807725E+00   mladen
    2749    0       2749         55    3.267833553E-01    8.114251659E-01    5.664062520E-01    8.143326668E+01    3.090131819E+03    4.658415885E+02    1.908934665E-04    3.862664774E+01   mladen
    2750    0       2750         83    6.552784876E-02    5.322265625E-01    4.960937480E-01    8.009950840E+01    3.062136800E+03    3.640048611E+02    2.820529457E-04    3.827671000E+01   mladen
    2766    0       2766        111    5.664062302E-02    5.264117488E-01    3.565536567E-01    8.554161106E+01    1.845771015E+03    2.949052439E+02    3.976959672E-04    2.307213769E+01   mladen
    2826    0       2826         20    3.789062480E-01    9.541490551E-01    6.299813540E-01    9.213948296E+01    5.019158688E+02    1.600573467E+02    9.063153232E-05    4.381457153E+00   mladen
    2848    0       2848         12    2.109374960E-01    7.988281250E-01    5.387027903E-01    8.135354910E+01    4.331763925E+02    1.727927638E+02    1.235910157E-04    5.414704907E+00   mladen
    2850    0       2850         12    1.874999960E-01    6.425781250E-01    4.397776320E-01    8.249485169E+01    4.235563739E+02    1.543545867E+02    1.104030037E-04    5.294454674E+00   mladen
    2905    0       2905          5    3.783848226E-02    9.517790141E-01    7.177864725E-01    1.024580901E+02    3.274488315E+02    1.916180208E+02    5.710662032E-05    4.093110393E+00   mladen
    3057    0       3057        331    4.160156240E-01    5.239640911E-01    3.013893471E-01    8.008132067E+01    1.858341636E+04    3.358611169E+02    5.567751715E-04    2.322927045E+02   mladen
    3058    0       3058        190    3.761825789E-01    8.429753996E-01    3.988359599E-01    8.053710323E+01    1.707602358E+04    3.897213438E+02    3.408159519E-04    2.134502948E+02   mladen
    3059    0       3059        256    3.930419890E-01    9.477539062E-01    3.857421885E-01    8.007275636E+01    1.574810246E+04    3.418940738E+02    4.381372086E-04    1.782524668E+02   mladen
    3060    0       3060        106    5.302734365E-01    9.399414062E-01    1.675036837E-01    8.105581169E+01    1.034083463E+04    4.750364569E+02    1.800617557E-04    6.735448850E+01   mladen
    3063    0       3063         73    3.409718658E-01    7.041015625E-01    3.898805289E-01    8.005425212E+01    3.136348226E+03    3.046134680E+02    2.292242666E-04    3.920435282E+01   mladen
    3064    0       3064        137    3.359374980E-01    5.419921875E-01    3.143437552E-01    8.090785742E+01    3.054255690E+03    3.739269126E+02    3.816782461E-04    3.817819612E+01   mladen
    3067    0       3067         61    4.077598066E-01    9.990276593E-01    3.336661407E-01    8.032692407E+01    2.642906303E+03    4.672039882E+02    2.123373991E-04    3.303632878E+01   mladen
    3068    0       3068         47    5.404421925E-01    9.482421875E-01    2.011718730E-01    8.450598116E+01    2.431257223E+03    3.804037124E+02    1.332087404E-04    3.039071528E+01   mladen
    3069    0       3069         92    4.797042310E-01    6.474609375E-01    4.821196812E-01    8.032354237E+01    1.924518561E+03    3.863037215E+02    2.647932051E-04    2.405648201E+01   mladen
    3070    0       3070         59    5.507812480E-01    8.135276219E-01    4.034970507E-01    8.403362514E+01    1.880274228E+03    4.104679751E+02    1.804352591E-04    2.350342785E+01   mladen
    3072    0       3072         54    3.017962661E-01    7.089843730E-01    4.170689109E-01    8.521192239E+01    1.783900396E+03    3.839227144E+02    1.544641448E-04    2.229875495E+01   mladen
    3074    0       3074         69    3.700729500E-01    7.936810921E-01    3.993266257E-01    8.851613713E+01    1.433454655E+03    3.385732871E+02    2.093731078E-04    1.791818319E+01   mladen
    3087    0       3087         69    4.591213047E-01    5.919682736E-01    4.357635297E-01    8.049521354E+01    4.636134555E+02    1.361812512E+02    5.600754221E-04    5.795168194E+00   mladen
    3096    0       3096         17    3.763836482E-01    7.284924453E-01    3.959892994E-01    8.592312917E+01    4.173882537E+02    2.080429606E+02    2.108055550E-04    5.217353172E+00   mladen
    3098    0       3098         20    4.355542920E-01    5.772163472E-01    4.004116341E-01    8.704139242E+01    4.148134058E+02    1.971588341E+02    2.350316454E-04    5.185167573E+00   mladen
    3101    0       3101         16    4.905191023E-01    5.919591780E-01    3.184526568E-01    8.189634463E+01    4.112127426E+02    1.872543355E+02    1.785796504E-04    5.140159283E+00   mladen
    3103    0       3103         26    4.393320987E-01    5.015406342E-01    2.199309360E-01    8.049047780E+01    3.994023838E+02    1.668742899E+02    2.586085520E-04    4.992529797E+00   mladen
    3104    0       3104         18    5.175781250E-01    9.591404385E-01    1.075390482E-01    8.014301507E+01    3.946618916E+02    1.638147776E+02    1.757541893E-04    4.933273645E+00   mladen
